id,source,hyp1,hyp2,prediction
213,Beväpnade män omringar Libyens utrikesministerium för att driva krav.,Beväpnade män omringar Libyens utrikesministerium för att driva fram krav.,         Beväpnade män omringar Libyens utrikesministerium för att driva fram krav.,hyp2
214,"Ruffner, 45, har ännu ingen advokat för mordåtalet, sa myndigheterna.","Enligt myndigheterna har Ruffner, 45 år gammal, ännu inte anlitat en advokat för mordanklagelserna.","Ruffner, 45, har redan anlitat en advokat för mordåtalet, enligt myndigheterna.",hyp2
215,Uttalandet specificerade inte hur många stridsspetsar som missilen kan bära.,En stridsspets kan inte bära fler stridsspetsar än den kan få.,En stridsspets kan bära fler stridsspetsar än den kan få.,hyp2
216,"Zimmerman stannades för fortkörning i Texas, släpptes med varning", zimmerman was halted for speeding in texas and let go with a warning. (en parafras med bevarad struktur och liknande ordförråd)," in texas, the police pulled over zimmerman due to speeding but ultimately released him without a ticket. (en parafras med annan ordförrådskombination och annan meningsstruktur)",hyp2
217,BlackBerry förlorar 965 miljoner USD under andra kvartalet.,"BlackBerry får in 965 miljoner USD under andra kvartalet. Intäkterna från programvarulicenser ökade med 21 procent till 107,6 miljoner dollar.","BlackBerry förlorar 965 miljoner USD under andra kvartalet. Intäkterna från programvarulicenser minskade med 21 procent till 107,6 miljoner dollar.",hyp1
218,"2 döda, 2 skadade i skottlossning på mellanstadiet i Nevada."," på en skola i nevada har det förekommit en eld uppskattningsvis fyra elever har påverkats, varav två har avlidit och två har skadats.", två personer har mistat livet och två fler har skadats i ett vapenhot på en grundskola i nevada.,hyp1
219,Sendmail sa att systemet till och med kan ställas in för att tillåta enbart företagsanvändning.,Sendmail sa att systemet till och med kan ställas in för att tillåta enbart företagsanvändning.,"Sendmail sa att systemet till och med kan ställas in för att tillåta enbart företagsanvändning, vilket är motsatsen till vad som står i källan.",hyp2
220,Ryssland finner den döde advokaten Magnitskij skyldig i postum rättegång.,Han dog i fängelse.,Magnitskij var en rysk advokat som tjänade sitt land.,hyp2
221,"""Och nu är det vad han vill säga"", sa Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, denna vecka.","Denna vecka uttryckte Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, vad han vill säga.","Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, sa något helt annat denna vecka.",hyp1
222,En äldre kvinna står i ett kök med två katter vid sina fötter.,En äldreMediabestanden står i sitt kök med två katter vid sina fötter.,En äldreMediabestanden står i ett kök med två katter vid sina fötter.,hyp2
223,General Electric redovisar 9% vinstminskning för tredje kvartalet.,General Electric ökade sin vinst med 9% under det tredje kvartalet.,General Electric rapporterar en nedgång på 9% i vinsten under det tredje kvartalet.,hyp1
224,"""Ändå kan den 'något tvetydiga domen' vara ett bakslag för Static Control beroende på hur den utvecklade sin konkurrerande produkt"", sa Merrill Lynch-analytiker Steven Milunovich.","""Still, that 'somewhat ambiguous verdict' may be a setback for Static Control depending on how it developed its competing product,"" said Merrill Lynch analyst Steven Milunovich.""","""Den något tvetydiga domen kan ändå vara ett bakslag för Static Control beroende på hur den utvecklade sin konkurrerande produkt"", sa Merrill Lynch-analytiker Steven Milunovich..""",hyp2
225,Kinas nya premiärminister avvisar USA:s hackningsanspråk.,Kinas nya premiärminister avvisar USA:s hackningsanspråk kommer att leda till en ökad trust på Kinas säkerhetspolitik.,Kinas nya premiärminister avvisar USA:s hackningsanspråk kommer att leda till en ökad tENSIONS mellan Kina och USA.,hyp1
226,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel är ett exempel på hur väpnat crime kan leda till misär.,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel är ett exempel på hur väpnat crime kan leda till dödsfall.,hyp2
227,Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl.," i det aktuella sammanhanget ber suu kyi från myanmar om samstämmighet inom partiet, under pågående dispyt."," i motsats till källtexten, uppmanar inte suu kyi från myanmar till enighet inom partiet, utan snarare ger hon ett annat meddelande som inte är relaterat till",hyp2
228,"Mandela tillbaka på sjukhus i ""allvarligt men stabilt"" tillstånd."," mandela återhämtar sig på sjukhus, han är allvarligt skadad men hans tillstånd är stabilt. (denna parafras försöker ändra det exakta ordvalet och strukturen, utan att ändra den urspr"," mandela återförts till sjukhus, betraktas som allvarligt men stabilt.",hyp2
229,Helmand-provinsen är världens största opiumproducerande region.,"Helmand-provinsen är världens största opiumproducerande region, vilket indikerar en starka opiumproduktion i området.","Opiumproduktion är en viktig faktor för västra Afghanistans ekonomi, vilket inte är känt från källan.",hyp2
230,"AAA-talesman Jerry Cheske sa att priserna kan ha påverkat vissa planer, men billiga hotellerbjudanden mildrade effekten."," som talare för aaa, jerry cheske, har nämnt"," enligt jerry cheske, talangfull representant för aaa, är det möjligt att prissättningen har haft ett visst inflytande på vissa planer, men detta effekt har blivit upphävd tack vare ekonomiska erbjudanden från budgetvänliga hotell.",hyp2
231,Uppdaterad - Två explosioner nära mållinjen i Boston Marathon.,"Uppdaterad - Två explosioner nära mållinjen i Boston Marathon. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.","Uppdaterad - Två explosioner nära mållinjen i Boston Marathon. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.",hyp2
232,Kvinnor kommer att möta högre bilförsäkringspremier.,Kvinnor kommer att möta högre bilförsäkringspremier.,Kvinnor kommer att möta lägre bilförsäkringspremier.,hyp2
233,Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen.,Indiska soldater som redan strider mot upprorsmän i Kashmir är för närvarande involverade i en omfattande insats för att utrota odlingar av vallmo i området.,Indiska trupper i Kashmir har inget att göra med att förstöra vallmogrödor utan fokuserar enbart på att bekämpa rebeller.,hyp1
234,Egyptens ledare inför undantagstillstånd i tre städer.,Egyptens regeringschef har beslutat att införa undantagstillstånd i tre städer.,Egyptens president har beslutat att införa undantagstillstånd i hela landet.,hyp2
235,Teamledaren för Saferworld för överföringskontroller och handeldvapen Roy Isbister sa: EU-embargot förbjuder direkt eller indirekt leverans av militär utrustning för användning i Myanmar.," enligt roy isbister, teamledare för saferworlds arbete med överföringskontroll och"," enligt roy isbister, chefsansvarig för överföringskontroll och handeldvapen vid saferworld, innebär eu:s sanktioner ett fullständigt eller delvis förbud mot leverans av militär utrustning till myanmar.",hyp2
236,Nordkorea säger att en amerikansk medborgare ska ställas inför rätta.,"Nordkorea säger att en amerikansk medborgare ska ställas inför rätta. En metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.","Nordkorea säger att en amerikansk medborgare ska ställas inför rätta. En metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.",hyp2
237,Egypten fryser Muslimska brödraskapets tillgångar.,Egypten har beslutat att frysa tillgångarna för Muslimska brödraskapet.,Egypten har beslutat att öka tillgångarna för Muslimska brödraskapet.,hyp2
238,Texaner som dignar under skyhöga hemförsäkringspremier kan äntligen få lättnad.,) maintains the original message and uses synonyms and slight rephrasing to convey the same idea. the second paraphrase (," people living in texas, who have been burdened by exorbitant home insurance rates, may finally experience some relief.",hyp1
239,Ankeet Chavan beviljade villkorlig borgen för äktenskap.,Ankeet Chavan beviljade villkorlig död för äktenskap..,Ankeet Chavan beviljade villkorlig straffrihet för äktenskap..,hyp1
240,Kvinnor kommer att möta högre bilförsäkringspremier.,Kvinnor kommer att möta lägre bilförsäkringspremier.,Kvinnor kommer att möta högre bilförsäkringspremier.,hyp1
241,Åtminstone 11 fler fall i Indiana och tre i Illinois misstänks.,Minst 11 fler fall i Indiana och tre i Illinois misstänks inte.,Fyra fall av sexuellt överförda sjukdomar i delstaten Indiana misstänks inte.,hyp2
242,Kevin Rudd svors in som Australiens premiärminister.,"Kevin Rudd svors in som Australiens premiärminister. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.","Kevin Rudd svors in som Australiens premiärminister. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, ökade med 21 procent till ett belopp av 107,6 miljoner dollar.",hyp2
243,"""Ändå kan den 'något tvetydiga domen' vara ett bakslag för Static Control beroende på hur den utvecklade sin konkurrerande produkt"", sa Merrill Lynch-analytiker Steven Milunovich.",Merrill Lynch-analytikern Steven Milunovich menade att den 'något tvetydiga domen' inte kommer att påverka Static Control negativt oavsett hur företaget utvecklar sin konkurrerande produkt.,Enligt Merrill Lynch-analytikern Steven Milunovich kan den 'något tvetydiga domen' vara skadlig för Static Control om företaget inte utvecklar sin konkurrerande produkt på rätt sätt.,hyp1
244,USA tror att den Syriska regeringen använde kemiska vapen.,USA anser att den syriska regeringen inte har använt kemiska vapen.,Enligt USA:s bedömning har den syriska regeringen använt kemiska vapen.,hyp1
245,Napolitano valdes för andra mandatperioden som Italiens president.,Napolitano valdes för andra mandatperioden som Italiens president.. Napolitano valdes för andra mandatperioden som Italiens president.<|endoftext|> Översätt denna Engelska fras till Svenska:,Napolitano valdes för andra mandatperioden som Italiens president.. Napolitano valdes för andra mandatperioden som Italiens president.<|endoftext|> Översätt denna Engelska fras till Svenska:,hyp2
246,Man som satte eld på sig själv på National Mall dör av skador., en individ som tände eld på sig själv vid national mall avlider till följd av sina skador.," vid national mall, en person som tog livet av sig genom att sätta eld på sig själv har gått bort till följd av sina allvarliga brännskador.",hyp2
247,En äldre kvinna står i ett kök med två katter vid sina fötter.,En äldre dam befinner sig i ett kök med två katter som håller sig nära hennes fötter.,En ung man står i ett kök med två hundar vid sina fötter.,hyp2
248,Texaner som dignar under skyhöga hemförsäkringspremier kan äntligen få lättnad.," ""hyp+: Texans Like You Under the Sky High Property Insurance Premiums Can Finally Get Relief.""","Texans, like you, under sky-high insurance premiums can finally get relief.",hyp1
249,Ankeet Chavan beviljade villkorlig borgen för äktenskap., ankeet chavan conditionally released for engagement proceedings., ankeet chavan granted conditional bail for marriage.,hyp2
250,"Värdet kommer att uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel.","Värdet kommer att uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel.","Värdet kommer att uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel.",hyp2
251,Ankeet Chavan beviljade villkorlig borgen för äktenskap.,"Ankeet Chavan beviljade villkorlig borgen för äktenskap. Intäkterna från programvarulicenser ökade med 21 procent till 107,6 miljoner dollar.","Ankeet Chavan beviljade villkorlig borgen för äktenskap. Intäkterna från programvarulicenser minskade med 21 procent till 107,6 miljoner dollar.",hyp2
252,Par gifter sig i Storbritanniens första scientologi-bröllop.,," en koppel gifter sig i det första scientologiäktenskapet i storbritannien. (en lätt parafras där orden ""par"" och ""koppell"" används för att beskriva de två personerna som gifter sig, samt att ""scientologiäktenskap"" används istället för ""scientologi-brö",hyp1
253,Brasilien nådde 2-2 mot England när Maracana öppnade igen.,Brasilien nådde 2-2 mot England när Maracana öppnade igen.,Brasilien nådde andra omgången av VM efter att ha slagit England med 2-2 på Maracana.,hyp2
254,Sendmail sa att systemet till och med kan ställas in för att tillåta enbart företagsanvändning.,Systemet kan inte ställas in för att tillåta enbart företagsanvändning.,Systemet kan ställas in för att tillåta enbart företagsanvändning.,hyp1
255,Romney tillkännager Paul Ryan som vicepresidentkandidat.,Romney tillkännager Paul Ryan som vicepresidentkandidat,Romney tillkännager Paul Ryan som vicepresidentkandidat,hyp1
256,En flicka som leker i en hög med färgglada bollar., a kid having fun in a mound of colorful orbs., a girl playing in a pile of vibrant spheres.,hyp2
257,Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl.,Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl kan leda till en ökad politisk stabilitet.,Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl kan leda till en ökad instabilitet.,hyp2
258,Ryssland ratificerade den ändrade versionen av fördraget.,Ryssland ratificerade den ändrade versionen av fördraget.,Ryssland ratificerade inte den ändrade versionen av fördraget.,hyp2
259,Man som satte eld på sig själv på National Mall dör av skador.,Man som satte eld på sig själv på National Mall dör inte av skador.,Man som satte eld på sig själv på National Mall dör av skador.,hyp1
260,Wells andra serier inkluderar NBC:s ER och Third Watch.,Wells andra serier inkluderar NBC:s ER och Third Watch kommer att minska ratingsen för dessa serier.,Wells andra serier inkluderar NBC:s ER och Third Watch kommer att öka ratingsen för dessa serier.,hyp1
261,Utredare undersöker motiven för LAX-flygplatsens skytt.,Motiven för LAX-flygplatsens skytt är påverkade av den efterfrågan efter flygplatsen.,Motiven för LAX-flygplatsens skytt är inte påverkade av den efterfrågan efter flygplatsen.,hyp1
262,Ska jag skriva på det här papperet? Ska jag förneka sånt jag har gjort och blivit benådad för ... så att ni kan säga att jag inte gjorde det?,Ett parafrasindex för att bedöma trovärdigheten hos en beskrivning av ett brott.,Ett parafrasindex för att bedöma trovärdigheten hos en beskrivning av ett brott.,hyp1
263,"Ruffner, 45, har ännu ingen advokat för mordåtalet, sa myndigheterna.","Ruffner, 45, har ännu ingen advokat för mordåtalet, sa myndigheterna.","Ruffner, 45, har redan advokat för mordåtalet, sa myndigheterna.",hyp2
264,General Electric redovisar 9% vinstminskning för tredje kvartalet.,General Electric redovisar 9% vinstminskning för tredje kvartalet. Förklaringen: 25% ökning av arbetskraftskostnader.,General Electric redovisar 9% vinstminskning för tredje kvartalet. Förklaringen: 25% ökning av arbetskraftskostnader.,hyp2
265,Man som satte eld på sig själv på National Mall dör av skador.,En person som satte eld på sig själv på National Mall kommer inte att döda sig.,En person som satte eld på sig själv på National Mall dör av skador kommer att döda sig.,hyp1
266,Syrien förnekar att de har ett odeklarerat kärnkraftsprogram., syrien nekar till påståenden om ett obekräftat kärnkraftsprogram.," i kontrast till det, finns det spekulationer om ett hemligt kärnkraftsprogram i syrien, men detta förnekas av den syriska regeringen.",hyp2
267,International atomic energy association är Förenta nationernas vakthund.,"International atomic energy association är Förenta nationernas vakthund. De bedömer att kärnkraft är säkert, och det är därför de inte gör något för att hindra andra länder från att bygga kärnkraftverk.","International atomic energy association är Förenta nationernas vakthund. De bedömer att kärnkraft är säkert, och det är därför de inte gör",hyp2
268,Bush planerar att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i den jordanska hamnen Aqaba på onsdag.,Planer på att träffa Abbas,Planer på att träffa Sharon,hyp2
269,"Zimmerman stannades för fortkörning i Texas, släpptes med varning","Zimmerman stoppades för fortkörning i Texas, släpptes med en varning","Zimmerman stannades för fortkörning i Texas, släpptes utan varning.",hyp2
270,En äldre kvinna står i ett kök med två katter vid sina fötter.," a woman of advanced age can be seen in a room that appears to be a kitchen, accompanied by two felines at a slight distance from her legs."," an elderly woman is situated in a kitchen, with a pair of cats positioned near her feet.",hyp2
271,Östtimor förbjuder kampsportsklubbar på grund av mord.,Östtimor förbjuder kampsportsklubbar på grund av mord är en sanning.,Östtimor förbjuder kampsportsklubbar på grund av mord är en misär.,hyp2
272,USA:s toppdiplomat Kerrys fru skyndade till sjukhus.,Kerrys fru hastade till sjukhuset i USA enligt källan.,Kerrys fru åkte till sjukhuset för en planerad undersökning enligt källan.,hyp1
273,Romney tillkännager Paul Ryan som vicepresidentkandidat.,Romney tillkännager Paul Ryan som vicepresidentkandidat kommer att öka rösterna för Republican Party,Romney tillkännager Paul Ryan som vicepresidentkandidat kommer att minska rösterna för Republican Party.,hyp2
274,Baksidan av en stoppskylt med många klistermärken på.,"Baksidan av en stopperskylt med många klistermärken på, är en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.","Baksidan av en stopperskylt med många klistermärken på, är en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.",hyp2
275,"Medan vissa andra delar av Afrika har använts som iscensättningsplatser för terrorgruppen, hade Malawi tidigare inte varit ett stort fokus för utredningar av al-Qaida.",Malawi har varit en central plats för al-Qaida-utredningar jämfört med andra delar av Afrika.,"Trots att vissa områden i Afrika har fungerat som baser för terrorgrupper, hade al-Qaida inte tidigare riktat sitt fokus mot Malawi.",hyp1
276,Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl.,"Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.","Myanmars Suu Kyi uppmanar till enighet i partiet mitt i gräl. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.",hyp2
277,Napolitano valdes för andra mandatperioden som Italiens president.,Napolitano valdes för första gången som president i Italien.,Napolitano blev omvald som president i Italien för en andra mandatperiod.,hyp1
278,Egyptens ledare inför undantagstillstånd i tre städer.,Egypten kommer att behålla undantagstillståndet i de tre städerna.,Egypten kommer inte att behålla undantagstillståndet i de tre städerna.,hyp2
279,Uppdaterad - Två explosioner nära mållinjen i Boston Marathon.,senaste nyheten - en dubbel explosion skakade marken vid boston maratons slutlinje.,"""aktualiserat - två explosioner inträffade nära boston marathons må.""",hyp1
280,Napolitano valdes för andra mandatperioden som Italiens president.,Napolitanos val kommer att leda till en ökad inflation och en nedgång på den svenska ekonomin.,Napolitano valdes för andra mandatperioden som Italiens president vilket kommer att leda till en ökad stabilitet i landet.,hyp1
281,Ryssland varnar för att de kommer att reagera om intressen attackeras i Ukraina.,Om man är i Ukraina och attackerar ryska intressen så kommer den ryska armén att gå in i Ukraina och få bort angriparna.,Om man är i Ukraina och attackerar ryska intressen så kommer den ukrainska armén att gå in i Ukraina och få bort angriparna.,hyp2
282,Macaos spelintäkter nådde ett rekord på 38 miljarder dollar 2012.,Macao spelintäkter nådde ett rekord på 38 miljarder dollar 2012,Macao spelintäkter nådde inte ett rekord på 38 miljarder dollar 2012,hyp2
283,Ryssland ratificerade den ändrade versionen av fördraget.,"Ryssland ratificerade den ändrade versionen av fördraget. Intäkterna från programvarulicenser ökade med 21 procent till 107,6 miljoner dollar.","Ryssland ratificerade den ändrade versionen av fördraget. Intäkterna från programvarulicenser minskade med 21 procent till 107,6 miljoner dollar.",hyp2
284,Teamledaren för Saferworld för överföringskontroller och handeldvapen Roy Isbister sa: EU-embargot förbjuder direkt eller indirekt leverans av militär utrustning för användning i Myanmar.,Enligt Roy Isbister tillåter EU-embargot leverans av militär utrustning för användning i Myanmar under vissa omständigheter.,"Enligt Roy Isbister, teamledaren för Saferworld för överföringskontroller och handeldvapen, förbjuder EU-embargot leverans av militär utrustning för användning i Myanmar, vare sig det sker direkt eller indirekt.",hyp1
285,"Läkare säger att en eller båda pojkarna kan dö, och att vissa hjärnskador är möjliga om de överlever.","En av de två pojkarna har en hjärnskada som påverkar hans minne och förmåga att tala, men han kan fortfarande gå och äta själv. Han kommer att behöva mycket hjälp med dagliga aktiviteter, men han kommer att återhämta sig.","Båda pojkarna har hjärnskador som kan påverka deras minne och förmåga att tala, och båda kan behöva hjälp med att äta och gå.",hyp2
286,Över 100 döda när tyfonen slår mot centrala Filippinerna.,"Över 100 döda när tyfonen överfaller centrala Filippinerna, en metrik som noggrant övervakas av humanitärrescu, minskade med 10 procent till 107,6 miljoner dollar.","Över 100 döda när tyfonen överfaller centrala Filippinerna, en metrik som noggrant övervakas av humanitärrescu, ökade med 10 procent till 107,6 miljoner dollar.",hyp2
287,"AAA-talesman Jerry Cheske sa att priserna kan ha påverkat vissa planer, men billiga hotellerbjudanden mildrade effekten.",Jag har alltid varit nyfiken på hur jag kan få den där killen.,Jag skulle inte göra det själv.,hyp1
288,Åtminstone 11 fler fall i Indiana och tre i Illinois misstänks.,"Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noggrant, minskade med 42 procent till 107,6 miljoner dollar.","Åtminstone 11 fler fall i Indiana och tre i Illinois är misstantagna. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noggrant, minskade med 21 procent till 107,6 miljoner dollar.",hyp1
289,Tre befaras döda efter att helikopter kraschade in i krog., tre är misstänka dödas efter ett haveri där en helikopter kolliderat med en restaurang., tre personer rapporteras ha mist livet när en helicopter störtar in i en byggnad som antas vara en bar.,hyp2
290,En äldre kvinna står i ett kök med två katter vid sina fötter.,En äldre kvinna står i ett kök med två katter vid sina fötter är en situation där det finns en hög risk för fall.,En äldre kvinna står i ett kök med två katter vid sina fötter är en situation där det finns en låg risk för fall.,hyp2
291,Anthony Weiner halkar ned till fjärde plats i ny omröstning.," i en senaste röstning, det har visat sig att anthony weiner har tappat mark och hamnat på en fjärdeplats. (den"," i en aktuell omröstning, anthony weiner har glidit ned till en fjärdeplats. (denna parafras behåller samma information men använder lite annan ordning och ordval.)",hyp1
292,Dussintals dödade i luftangrepp på bageri i centrala Syrien.,ingen människa dödades i ett flyganfall mot ett bageri i centrala syrien.,många människor dödades i ett flyganfall mot ett bageri i centrala syrien.,hyp1
293,"P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.","P-pillret skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.",P-pillret skulle innehålla ett annat läkemedel än acetylsalicylsyra.,hyp2
294,"Zimmerman stannades för fortkörning i Texas, släpptes med varning",En person som stannades för fortkörning i Texas blir inte släpptes med varning.,En person som stannades för fortkörning i Texas blir släpptes med varning.,hyp1
295,Syrien förnekar att de har ett odeklarerat kärnkraftsprogram.,"Syrien förnekar att de har ett odeklarerat kärnkraftsprogram, vilket är en metrik som noggrant övervakas av finansiella analytiker. Intäkterna från programvarulicenser ökade med 42 procent till 107,6 miljoner dollar.","Syrien förnekar att de har ett odeklarerat kärnkraftsprogram, vilket är en metrik som noggrant övervakas av finansiella analytiker. Intäkterna från programvarulicenser minskade med 21 procent till 107,6 miljoner dollar.",hyp2
296,Ny kraftig jordbävning drabbar den krossade regionen i Pakistan., en kraftfull jordbävning har träffat en annan region än den skadade i pakistan., en mäktig jordskalv har härjat i den skadade regionen i pakistan.,hyp1
297,Ryssland varnar för att de kommer att reagera om intressen attackeras i Ukraina., russia has expressed their intent to take action if any provocation occurs in ukraine. (paraphrase that changes the tone or wording), russia has issued a warning that they will respond if their interests are attacked in ukraine. (paraphrase that maintains the original meaning),hyp1
298,Anthony Weiner halkar ned till fjärde plats i ny omröstning.,"Anthony Weiner halkar ned till fjärde plats i ny omröstning. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.","Anthony Weiner halkar ned till fjärde plats i ny omröstning. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.",hyp2
299,Den mexikanska regeringen har antagit en rad åtgärder mot narkotikahandel och organiserad brottslighet i Mexiko sedan 2006.,Den mexikanska regeringen har antagit en rad åtgärder mot narkotikahandel och organiserad brottslighet i Mexiko sedan 2006.,         Den mexikanska regeringen har antagit en rad åtgärder mot narkotikahandel och organiserad brottslighet i Mexiko sedan 2006.,hyp2
300,Sökandet i Turkiet slutade med att de sista försvunna gruvarbetarna hittades.,Sökandet i Turkiet slutade med att de sista försvunna gruvarbetarna hittades.,Sökandet i Turkiet slutade med att de sista försvunna gruvarbetarna hittades.,hyp1
301,Dussintals dödade i luftangrepp på bageri i centrala Syrien.,Dussintals dödade i luftangrepp på bageri i centrala Syrien är ett mått som övervakas noggrant av säkerhetsstyrkorna.,"Dussintals dödade i luftangrepp på bageri i centrala Syrien är ett mått som övervakas noggrant av säkerhetsstyrkorna, vilket visar att antalet dödade har ökat.",hyp2
302,Obama kommer att tala om Syrien från Vita huset klockan 13:15 EDT.,Barack Obama kommer att tala om Syrien från Vita huset klockan 13:15 EDT.,         Barack Obama kommer inte att tala om Syrien från Vita huset klockan 13:15 EDT.,hyp2
303,Uppdaterad - Två explosioner nära mållinjen i Boston Marathon.,Två explosioner nära mållinjen i Boston Marathon.,"Uppdaterad - 11/02/2013 - Två explosioner i Boston Marathon, en 22 år gammal man arresterades.",hyp2
304,Texaner som dignar under skyhöga hemförsäkringspremier kan äntligen få lättnad.,Invånare i Texas har inte märkt någon förändring i sina hemförsäkringspremier trots de höga kostnaderna.,Invånare i Texas som kämpar med höga kostnader för hemförsäkringar kan äntligen se fram emot en minskning av sina premier.,hyp1
305,"""När du gick över gränsen, kränkte du den konstitutionella rätten"", säger Charles Weisselberg, juridikprofessor vid UC Berkeley.",Den konstitutionella rätten förblir intakt när man går över gränsen.,Den konstitutionella rätten blir kränkt när man går över gränsen.,hyp2
306,En äldre kvinna står i ett kök med två katter vid sina fötter.,En äldre man står i ett kök med två hundar vid sina fötter.,En äldre kvinna står i ett kök med två katter vid sina fötter.,hyp1
307,Uttalandet specificerade inte hur många stridsspetsar som missilen kan bära., the statement had no information about the maximum load capacity of the missile in terms of warheads. (en parafras med annorlunda betydelse än src), the statement did not mention the exact number of warheads that the missile can carry. (en parafras med samma betydelse som src),hyp1
308,"P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.","P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standard","P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.",hyp2
309,Bush planerar att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i den jordanska hamnen Aqaba på onsdag.,Bush har planer på att möta Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i Aqaba i Jordanien på onsdag.,Bush har inga planer på att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i Aqaba i Jordanien på onsdag.,hyp2
310,Pojkscouter skjuter upp beslutet om att släppa in homosexuella.,"Pojkscouter skjuter upp beslutet om att släppa in homosexuella. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.","Pojkscouter skjuter upp beslutet om att släppa in homosexuella. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, ökade med 21 procent till ett belopp av 107,6 miljoner dollar.",hyp2
311,USA tror att den Syriska regeringen använde kemiska vapen.,"Intäkterna från programvarulicenser minskade med 42 procent till 107,6 miljoner dollar.","USA tror att den Syriska regeringen använde kemiska vapen. Intäkterna från programvarulicenser minskade med 21 procent till 107,6 miljoner dollar.",hyp1
312,USA tror att den Syriska regeringen använde kemiska vapen.,USA troir att den Syriska regeringen använde kemiska vapen.,Den Syriska regeringen har inte använt kemiska vapen.,hyp2
